"","hhid","pnum","pumsSerialNo","persType","persTypeDetailed","age","gender","industry","schlGrade","educLevel","workPlaceType","workPlaceTaz","workPlaceMaz","schoolType","schoolTaz","schoolMaz","usualCarId","dailyActivityPattern","specEvtParticipant","jointTour1Role","jointTour2role","obPeChauffBund1","obPeChauffBund2","obPeChauffBund3","obRsChauffBund","obPePassBund","obRsPassBund","ibPeChauffBund1","ibPeChauffBund2","ibPeChauffBund3","ibRsChauffBund","ibPePassBund","ibRsPassBund","studentDorm","studentRent","activityString"
"2119188",959705,1,2011001257984,1,1,61,2,54,0,12,2,2476,22475,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
"2119770",959979,1,2007000678400,2,4,44,2,62,0,11,2,2809,22808,0,0,0,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2119771",959979,2,2007000678400,1,1,44,1,56,0,8,2,2546,22545,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-72-1-0]"
"2119772",959979,3,2007000678400,4,13,20,1,0,0,6,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-42-42-9-62-42-8-0]"
"2119773",959979,4,2007000678400,6,17,17,2,0,5,9,0,0,0,1,3037,23036,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0-42-0]"
"2119977",960078,1,2008001019904,1,1,45,2,53,0,9,2,2446,22445,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
"2119978",960078,2,2008001019904,7,19,11,1,0,4,3,0,0,0,1,2444,22443,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
"2122670",961283,1,2010000130048,1,3,38,2,71,6,11,1,2449,22448,2,2347,22346,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2122671",961283,2,2010000130048,1,1,43,1,52,0,13,2,2793,22792,0,0,0,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0-9-0]"
"2122672",961283,3,2010000130048,7,19,12,1,0,4,3,0,0,0,1,2426,22425,-1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-9-9-8-61-0-73-0-9-0]"
"2122673",961283,4,2010000130048,7,19,10,2,0,4,3,0,0,0,1,2426,22425,-1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0-62-0-9-0-9-0]"
"2122674",961283,5,2010000130048,7,19,8,2,0,3,2,0,0,0,1,2439,22438,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
"2122675",961283,6,2010000130048,8,22,5,2,0,1,2,0,0,0,1,2445,22444,-1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0-9-0]"
"2122676",961283,7,2010000130048,8,22,5,2,0,1,2,0,0,0,2,2449,22448,-1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-9-0]"
"2124299",962031,1,2008000757760,1,1,70,1,61,0,14,2,2518,22517,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-61-1-0]"
"2124300",962031,2,2008000757760,5,15,69,2,0,0,14,0,0,0,0,0,0,-1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2128586",964170,1,2009001361408,1,1,47,2,44,0,10,2,2539,22538,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
"2128587",964170,2,2009001361408,1,1,50,1,42,0,6,2,2307,22306,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2136418",967997,1,2009000574976,5,15,66,1,0,0,4,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-72-73-0]"
"2140534",970331,1,2008000102400,1,1,46,1,42,0,12,2,3107,23106,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-411-411-0-1-5-1-0]"
"2140535",970331,2,2008000102400,2,4,51,2,61,0,12,2,2528,22527,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"[0-1-0-411-42-0]"
"2140536",970331,3,2008000102400,6,16,16,2,71,5,6,2,2802,22801,1,2579,22578,-1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"[0-411-3-0-5-42-0]"
"2140537",970331,4,2008000102400,7,19,15,2,0,4,4,0,0,0,1,2579,22578,-1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"[0-3-42-0]"
"2140538",970331,5,2008000102400,2,6,20,1,45,6,11,2,2816,22815,2,2347,22346,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-1-72-1-0]"
"2141228",970621,1,2010001309696,4,13,58,1,0,0,10,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2141229",970621,2,2010001309696,4,13,59,2,0,0,9,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2141230",970621,3,2010001309696,3,9,34,2,0,6,9,0,0,0,2,2347,22346,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-2-0-5-61-0]"
"2141231",970621,4,2010001309696,8,21,2,1,0,0,0,0,0,0,2,2567,22566,-1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2142829",971296,1,2008000364544,1,1,36,2,61,0,13,2,3142,23141,0,0,0,-1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0-9-0]"
"2142830",971296,2,2008000364544,1,1,54,1,56,0,13,2,2490,22489,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-72-1-8-0-9-0-9-0]"
"2142831",971296,3,2008000364544,7,19,8,1,0,3,2,0,0,0,1,2579,22578,-1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-9-72-3-0-9-0-8-0]"
"2142832",971296,4,2008000364544,8,21,4,1,0,1,2,0,0,0,1,2579,22578,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
"2144061",971783,1,2008001019904,4,13,58,1,0,0,10,0,0,0,0,0,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-61-61-61-0-7-0]"
